kernel,source,source_token,standalone_c,fixture_scalar_types,fixture_shape_macros,operation_summary,reviewed_semantic_family,current_match,current_match_scope,linalg_ops,residual_loops,closest_library,closest_api,relationship,whole_kernel_coverage,semantic_constraints,rank_layout_constraints,required_compiler_work,confidence,priority,notes,evidence_url,alternative_libraries,current_backend_support,compiler_gap_class
aten_adaptive_avg_pool2d,aten/src/ATen/native/AdaptiveAveragePooling.cpp,adaptive_avg_pool2d,issues/aten_c_kernels/aten_adaptive_avg_pool2d.c,float,B=2; C=4; H=8; W=8; OH=4; OW=4,adaptive_pooling: adaptive_avg_pool2d,adaptive_pooling,,NONE,2,0,cuDNN,regular Resample/pooling,SUBSET_WITH_CONSTRAINTS,only divisible regular-window cases,adaptive bin boundaries generally vary by output index; max indices/ties must match,only cases reducible to a fixed window and stride,prove regular-window specialization; otherwise no one-call library route,HIGH,LOW,,https://docs.nvidia.com/deeplearning/cudnn/latest/index.html,NPP for compatible 2D image cases; implicit-GEMM via cuBLAS/CUTLASS for convolution,RELATED_CUDNN_WRAPPERS_PRESENT_NEED_GENERALIZATION,LEGALITY_SPECIALIZATION_AND_BACKEND
aten_adaptive_avg_pool2d_backward_cpu,aten/src/ATen/native/cpu/AdaptiveAvgPoolKernel.cpp,adapative_avg_pool2d_backward_kernel_impl,issues/aten_c_kernels/aten_adaptive_avg_pool2d_backward_cpu.c,float,B=1; C=2; I0=6; O0=3; I1=7; O1=3,adaptive_pooling: adapative_avg_pool2d_backward_kernel_impl,adaptive_pooling,memset_zero_1D_f32,PARTIAL_STAGE_ONLY,1,5,cuDNN,regular Resample/pooling,SUBSET_WITH_CONSTRAINTS,only divisible regular-window cases,adaptive bin boundaries generally vary by output index; max indices/ties must match,only cases reducible to a fixed window and stride,finish raising residual loops; then prove regular-window specialization; otherwise no one-call library route,HIGH,LOW,,https://docs.nvidia.com/deeplearning/cudnn/latest/index.html,NPP for compatible 2D image cases; implicit-GEMM via cuBLAS/CUTLASS for convolution,RELATED_CUDNN_WRAPPERS_PRESENT_NEED_GENERALIZATION,RAISING_THEN_LIBRARY_LOWERING
aten_adaptive_avg_pool2d_cpu,aten/src/ATen/native/cpu/AdaptiveAvgPoolKernel.cpp,adaptive_avg_pool2d_kernel_impl,issues/aten_c_kernels/aten_adaptive_avg_pool2d_cpu.c,float,B=1; C=2; I0=6; O0=3; I1=7; O1=3,adaptive_pooling: adaptive_avg_pool2d_kernel_impl,adaptive_pooling,,NONE,1,5,cuDNN,regular Resample/pooling,SUBSET_WITH_CONSTRAINTS,only divisible regular-window cases,adaptive bin boundaries generally vary by output index; max indices/ties must match,only cases reducible to a fixed window and stride,finish raising residual loops; then prove regular-window specialization; otherwise no one-call library route,HIGH,LOW,,https://docs.nvidia.com/deeplearning/cudnn/latest/index.html,NPP for compatible 2D image cases; implicit-GEMM via cuBLAS/CUTLASS for convolution,RELATED_CUDNN_WRAPPERS_PRESENT_NEED_GENERALIZATION,RAISING_THEN_LIBRARY_LOWERING
aten_adaptive_avg_pool3d,aten/src/ATen/native/AdaptiveAveragePooling3d.cpp,adaptive_avg_pool3d,issues/aten_c_kernels/aten_adaptive_avg_pool3d.c,float,B=2; C=3; D=8; H=8; W=8,adaptive_pooling: adaptive_avg_pool3d,adaptive_pooling,,NONE,2,0,cuDNN,regular Resample/pooling,SUBSET_WITH_CONSTRAINTS,only divisible regular-window cases,adaptive bin boundaries generally vary by output index; max indices/ties must match,only cases reducible to a fixed window and stride,prove regular-window specialization; otherwise no one-call library route,HIGH,LOW,,https://docs.nvidia.com/deeplearning/cudnn/latest/index.html,NPP for compatible 2D image cases; implicit-GEMM via cuBLAS/CUTLASS for convolution,RELATED_CUDNN_WRAPPERS_PRESENT_NEED_GENERALIZATION,LEGALITY_SPECIALIZATION_AND_BACKEND
aten_adaptive_avg_pool3d_backward_cpu,aten/src/ATen/native/cpu/AdaptiveAvgPoolKernel.cpp,adapative_avg_pool3d_backward_kernel_impl,issues/aten_c_kernels/aten_adaptive_avg_pool3d_backward_cpu.c,float,B=1; C=2; I0=6; O0=3; I1=7; O1=3; I2=8; O2=3,adaptive_pooling: adapative_avg_pool3d_backward_kernel_impl,adaptive_pooling,memset_zero_1D_f32,PARTIAL_STAGE_ONLY,1,7,cuDNN,regular Resample/pooling,SUBSET_WITH_CONSTRAINTS,only divisible regular-window cases,adaptive bin boundaries generally vary by output index; max indices/ties must match,only cases reducible to a fixed window and stride,finish raising residual loops; then prove regular-window specialization; otherwise no one-call library route,HIGH,LOW,,https://docs.nvidia.com/deeplearning/cudnn/latest/index.html,NPP for compatible 2D image cases; implicit-GEMM via cuBLAS/CUTLASS for convolution,RELATED_CUDNN_WRAPPERS_PRESENT_NEED_GENERALIZATION,RAISING_THEN_LIBRARY_LOWERING
aten_adaptive_avg_pool3d_cpu,aten/src/ATen/native/cpu/AdaptiveAvgPoolKernel.cpp,adaptive_avg_pool3d_kernel_impl,issues/aten_c_kernels/aten_adaptive_avg_pool3d_cpu.c,float,B=1; C=2; I0=6; O0=3; I1=7; O1=3; I2=8; O2=3,adaptive_pooling: adaptive_avg_pool3d_kernel_impl,adaptive_pooling,,NONE,0,7,cuDNN,regular Resample/pooling,SUBSET_WITH_CONSTRAINTS,only divisible regular-window cases,adaptive bin boundaries generally vary by output index; max indices/ties must match,only cases reducible to a fixed window and stride,finish raising residual loops; then prove regular-window specialization; otherwise no one-call library route,HIGH,LOW,,https://docs.nvidia.com/deeplearning/cudnn/latest/index.html,NPP for compatible 2D image cases; implicit-GEMM via cuBLAS/CUTLASS for convolution,RELATED_CUDNN_WRAPPERS_PRESENT_NEED_GENERALIZATION,RAISING_THEN_LIBRARY_LOWERING
aten_adaptive_max_pool1d_cpu,aten/src/ATen/native/Pooling.cpp,adaptive_max_pool1d,issues/aten_c_kernels/aten_adaptive_max_pool1d_cpu.c,float/int,C=4; I=32; O=7,adaptive_pooling: adaptive_max_pool1d,adaptive_pooling,,NONE,0,3,cuDNN,regular Resample/pooling,SUBSET_WITH_CONSTRAINTS,only divisible regular-window cases,adaptive bin boundaries generally vary by output index; max indices/ties must match,only cases reducible to a fixed window and stride,finish raising residual loops; then prove regular-window specialization; otherwise no one-call library route,HIGH,LOW,,https://docs.nvidia.com/deeplearning/cudnn/latest/index.html,NPP for compatible 2D image cases; implicit-GEMM via cuBLAS/CUTLASS for convolution,RELATED_CUDNN_WRAPPERS_PRESENT_NEED_GENERALIZATION,RAISING_THEN_LIBRARY_LOWERING
aten_adaptive_max_pool2d_backward_cpu,aten/src/ATen/native/cpu/AdaptiveMaxPoolKernel.cpp,adaptive_max_pool2d_backward_kernel_impl,issues/aten_c_kernels/aten_adaptive_max_pool2d_backward_cpu.c,float/int,B=1; C=2; I0=6; O0=3; I1=7; O1=3,adaptive_pooling: adaptive_max_pool2d_backward_kernel_impl,adaptive_pooling,memset_zero_1D_f32,PARTIAL_STAGE_ONLY,1,3,cuDNN,regular Resample/pooling,SUBSET_WITH_CONSTRAINTS,only divisible regular-window cases,adaptive bin boundaries generally vary by output index; max indices/ties must match,only cases reducible to a fixed window and stride,finish raising residual loops; then prove regular-window specialization; otherwise no one-call library route,HIGH,LOW,,https://docs.nvidia.com/deeplearning/cudnn/latest/index.html,NPP for compatible 2D image cases; implicit-GEMM via cuBLAS/CUTLASS for convolution,RELATED_CUDNN_WRAPPERS_PRESENT_NEED_GENERALIZATION,RAISING_THEN_LIBRARY_LOWERING
aten_adaptive_max_pool2d_cpu,aten/src/ATen/native/cpu/AdaptiveMaxPoolKernel.cpp,adaptive_max_pool2d_kernel_impl,issues/aten_c_kernels/aten_adaptive_max_pool2d_cpu.c,float/int,B=1; C=2; I0=6; O0=3; I1=7; O1=3,adaptive_pooling: adaptive_max_pool2d_kernel_impl,adaptive_pooling,,NONE,0,5,cuDNN,regular Resample/pooling,SUBSET_WITH_CONSTRAINTS,only divisible regular-window cases,adaptive bin boundaries generally vary by output index; max indices/ties must match,only cases reducible to a fixed window and stride,finish raising residual loops; then prove regular-window specialization; otherwise no one-call library route,HIGH,LOW,,https://docs.nvidia.com/deeplearning/cudnn/latest/index.html,NPP for compatible 2D image cases; implicit-GEMM via cuBLAS/CUTLASS for convolution,RELATED_CUDNN_WRAPPERS_PRESENT_NEED_GENERALIZATION,RAISING_THEN_LIBRARY_LOWERING
aten_adaptive_max_pool3d_backward_cpu,aten/src/ATen/native/cpu/AdaptiveMaxPoolKernel.cpp,adaptive_max_pool3d_backward_kernel_impl,issues/aten_c_kernels/aten_adaptive_max_pool3d_backward_cpu.c,float/int,B=1; C=2; I0=6; O0=3; I1=7; O1=3; I2=8; O2=3,adaptive_pooling: adaptive_max_pool3d_backward_kernel_impl,adaptive_pooling,memset_zero_1D_f32,PARTIAL_STAGE_ONLY,1,4,cuDNN,regular Resample/pooling,SUBSET_WITH_CONSTRAINTS,only divisible regular-window cases,adaptive bin boundaries generally vary by output index; max indices/ties must match,only cases reducible to a fixed window and stride,finish raising residual loops; then prove regular-window specialization; otherwise no one-call library route,HIGH,LOW,,https://docs.nvidia.com/deeplearning/cudnn/latest/index.html,NPP for compatible 2D image cases; implicit-GEMM via cuBLAS/CUTLASS for convolution,RELATED_CUDNN_WRAPPERS_PRESENT_NEED_GENERALIZATION,RAISING_THEN_LIBRARY_LOWERING
